segment,batch,book,chapter,qc_pass,qc_reasons,duration_s,speech_duration_s,speech_begin_s,speech_end_s,leading_silence_s,trailing_silence_s,max_internal_silence_s,n_words_aligned,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr,aligned,segmentation_confidence,segmentation_reason,wav_path,txt_path,textgrid_path
GAL_001_seg_004,batch2,GAL,GAL_001,False,alignment_failed,3.611,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\GAL_001_seg_004.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\GAL_001_seg_004.txt,
ROM_008_seg_037,batch2,ROM,ROM_008,False,alignment_failed,22.151,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_037.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_037.txt,
JAS_001_seg_004,batch2,JAS,JAS_001,False,alignment_failed,8.439,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_004.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_004.txt,
ROM_008_seg_031,batch2,ROM,ROM_008,False,alignment_failed,16.973,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_031.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_031.txt,
JAS_001_seg_016,batch2,JAS,JAS_001,False,alignment_failed,6.166,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_016.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_016.txt,
HEB_011_seg_060,batch2,HEB,HEB_011,False,alignment_failed,3.633,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_060.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_060.txt,
EPH_004_seg_006,batch2,EPH,EPH_004,False,alignment_failed,1.873,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_006.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_006.txt,
PHP_002_seg_031,batch2,PHP,PHP_002,False,alignment_failed,12.835,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_031.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_031.txt,
PHP_002_seg_007,batch2,PHP,PHP_002,False,alignment_failed,2.33,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_007.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_007.txt,
PHP_002_seg_005,batch2,PHP,PHP_002,False,alignment_failed,9.36,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_005.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_005.txt,
PHP_002_seg_039,batch2,PHP,PHP_002,False,alignment_failed,1.152,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_039.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_039.txt,
GAL_001_seg_031,batch2,GAL,GAL_001,False,alignment_failed,1.079,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\GAL_001_seg_031.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\GAL_001_seg_031.txt,
ROM_008_seg_029,batch2,ROM,ROM_008,False,alignment_failed,17.914,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_029.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_029.txt,
EPH_004_seg_025,batch2,EPH,EPH_004,False,alignment_failed,8.734,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_025.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_025.txt,
EPH_004_seg_040,batch2,EPH,EPH_004,False,alignment_failed,1.192,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_040.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_040.txt,
ROM_008_seg_028,batch2,ROM,ROM_008,False,alignment_failed,9.756,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_028.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_028.txt,
HEB_011_seg_054,batch2,HEB,HEB_011,False,alignment_failed,5.309,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_054.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_054.txt,
HEB_011_seg_082,batch2,HEB,HEB_011,False,alignment_failed,7.551,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_082.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_082.txt,
PHP_002_seg_001,batch2,PHP,PHP_002,False,alignment_failed,11.091,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_001.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\PHP_002_seg_001.txt,
ROM_008_seg_024,batch2,ROM,ROM_008,False,alignment_failed,1.243,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_024.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_024.txt,
ROM_008_seg_008,batch2,ROM,ROM_008,False,alignment_failed,20.38,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_008.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_008.txt,
ROM_008_seg_046,batch2,ROM,ROM_008,False,alignment_failed,16.449,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_046.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_046.txt,
HEB_011_seg_067,batch2,HEB,HEB_011,False,alignment_failed,4.9,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_067.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_067.txt,
HEB_011_seg_014,batch2,HEB,HEB_011,False,alignment_failed,15.859,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_014.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\HEB_011_seg_014.txt,
EPH_004_seg_018,batch2,EPH,EPH_004,False,alignment_failed,6.366,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_018.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_018.txt,
ROM_008_seg_013,batch2,ROM,ROM_008,False,alignment_failed,13.227,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_013.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_013.txt,
ROM_008_seg_009,batch2,ROM,ROM_008,False,alignment_failed,3.184,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_009.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_009.txt,
JAS_001_seg_012,batch2,JAS,JAS_001,False,alignment_failed,10.426,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_012.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\JAS_001_seg_012.txt,
ROM_008_seg_025,batch2,ROM,ROM_008,False,alignment_failed,2.328,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_025.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_025.txt,
ROM_008_seg_004,batch2,ROM,ROM_008,False,alignment_failed,20.485,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_004.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_004.txt,
EPH_004_seg_028,batch2,EPH,EPH_004,False,alignment_failed,5.395,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_028.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_028.txt,
EPH_004_seg_007,batch2,EPH,EPH_004,False,alignment_failed,1.132,,,,,,,,,,,,False,low,duration_outlier,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_007.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\EPH_004_seg_007.txt,
ROM_008_seg_005,batch2,ROM,ROM_008,False,alignment_failed,17.892,,,,,,,,,,,,False,high,,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_005.wav,data\processed\audio\phase3_verification\batch2\mfa_corpus\speaker1\ROM_008_seg_005.txt,
REV_001_seg_003,batch3,REV,REV_001,False,phone_duration_outlier,9.257,8.05,0.97,9.02,0.97,0.237,1.3,9,-63.07166661042117,-63.7754862168256,15.201186251294537,1.160038382235708,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_003.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_003.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_001_seg_003.TextGrid
REV_001_seg_043,batch3,REV,REV_001,False,phone_duration_outlier,8.991,7.401,1.59,8.991,1.59,0.0,0.55,14,-58.710750660456064,-61.008668397602285,10.385329056558366,-0.47628273173461544,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_043.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_043.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_001_seg_043.TextGrid
REV_021_seg_013,batch3,REV,REV_021,False,phone_duration_outlier,5.27,5.27,0.0,5.27,0.0,0.0,0.9,3,-59.189197402751425,-61.93298488193088,10.108519030381197,-1.7436013077712147,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_013.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_013.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_021_seg_013.TextGrid
REV_021_seg_035,batch3,REV,REV_021,True,,7.13,7.13,0.0,7.13,0.0,0.0,0.9,4,-56.53561645336606,-60.96241760253906,9.665334077262614,-0.8282086475800821,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_035.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_035.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_021_seg_035.TextGrid
REV_021_seg_034,batch3,REV,REV_021,True,,1.74,1.74,0.0,1.74,0.0,0.0,0.26,4,-55.052683863146555,-55.402465986168906,9.62202742864566,-2.4970367267409213,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_034.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_034.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_021_seg_034.TextGrid
REV_021_seg_051,batch3,REV,REV_021,True,,10.427,9.26,0.87,10.13,0.87,0.297,2.14,10,-60.89043773969319,-64.92045532573353,9.452145432169553,-1.6112695544272686,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_051.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_051.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_021_seg_051.TextGrid
REV_001_seg_019,batch3,REV,REV_001,True,,4.444,3.744,0.7,4.444,0.7,0.0,0.45,11,-56.556495460304056,-60.5985243761981,9.351357900564105,-0.23430104142032881,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_019.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_019.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_001_seg_019.TextGrid
REV_001_seg_018,batch3,REV,REV_001,True,,4.064,2.904,1.16,4.064,1.16,0.0,0.2,4,-60.23043026477833,-59.59042485555013,8.60043948023121,-1.2270849778715505,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_018.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_018.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_001_seg_018.TextGrid
REV_001_seg_038,batch3,REV,REV_001,True,,10.507,9.087,1.42,10.507,1.42,0.0,0.88,12,-56.5256675190295,-60.654524245352114,8.341882782028256,-2.1978301734115977,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_038.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_001_seg_038.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_001_seg_038.TextGrid
REV_021_seg_005,batch3,REV,REV_021,True,,4.382,4.382,0.0,4.382,0.0,0.0,0.09,5,-58.643523473173516,-62.88126157124837,8.166094424422596,1.4779249831833372,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_005.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\REV_021_seg_005.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\REV_021_seg_005.TextGrid
1PE_002_seg_034,batch3,1PE,1PE_002,True,,11.232,8.23,2.73,10.96,2.73,0.272,3.02,13,-59.488103851291186,-60.23315903345744,8.153813471576475,-1.3117629538464257,True,high,,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\1PE_002_seg_034.wav,data\processed\audio\phase3_verification\batch3\mfa_corpus\speaker1\1PE_002_seg_034.txt,data\processed\audio\phase3_verification\batch3\textgrids\speaker1\1PE_002_seg_034.TextGrid
